,restaurant_name,city,cuisines,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,repeat_customer_pct,platform_performance_better
3440,The Vietnamese Spot (3),Bangalore,Vietnamese; Desserts,4.9,1834,4.8,891,567,Mid-Range,39,39,26,27,221,216,125307,122472,66,Swiggy Better
3441,Terrace Bites,Bangalore,South Indian; Mediterranean,4.6,1952,4.4,1176,726,Premium,43,35,34,30,238,215,172788,156090,51,Swiggy Better
3442,Terrace Express (4),Mumbai,Korean,4.8,917,4.7,1690,538,Mid-Range,62,59,30,32,227,315,122126,169470,68,Zomato Better
3443,The Vegan Foods (2),Delhi,Vegan; Seafood,4.9,1049,5,2898,370,Mid-Range,40,40,26,22,297,511,109890,189070,57,Zomato Better
3444,Curry House (3),Ahmedabad,Japanese,4.6,674,4.9,1128,1127,Premium,37,40,29,26,132,224,148764,252448,61,Zomato Better
3445,The Thai Cellar,Bangalore,Thai; Mexican,4.4,731,4.5,1845,455,Mid-Range,58,45,36,35,161,239,73255,108745,47,Zomato Better
3446,Bistro Desserts House,Hyderabad,Desserts; Lebanese,4.3,1307,4.7,1564,103,Budget,53,53,30,30,263,303,27089,31209,54,Zomato Better
3447,Curry Bhavan,Chennai,Mediterranean; Italian,4.3,1111,4.4,811,962,Premium,32,32,26,27,233,243,224146,233766,57,Zomato Better
3448,The Vietnamese Darbar (5),Bangalore,Vietnamese; Chinese,4.2,2543,4.1,2253,252,Budget,38,29,23,22,342,262,86184,66024,40,Swiggy Better
3449,Wok Mughlai Corner,Kolkata,Mughlai; Cafe,4.5,2375,4.6,1851,296,Budget,41,35,21,24,454,407,134384,120472,51,Swiggy Better
3450,The Vegan House (5),Hyderabad,Vegan; Korean,4.4,881,4.2,2578,273,Budget,37,32,25,27,323,372,88179,101556,52,Zomato Better
3451,The Biryani Grill (5),Pune,Biryani,4.2,1326,4.4,2932,386,Mid-Range,50,49,27,30,148,333,57128,128538,53,Zomato Better
3452,Urban Table (5),Mumbai,Vegan,3.7,741,3.7,1800,706,Premium,47,44,26,28,182,204,128492,144024,45,Balanced
3453,Ember Corner (4),Mumbai,Thai,5,2156,4.5,1719,256,Budget,28,27,26,18,366,336,93696,86016,71,Swiggy Better
3454,Golden Eatery (2),Lucknow,Vegan,4.4,789,4.5,860,253,Budget,34,40,21,22,214,205,54142,51865,61,Swiggy Better
3455,Tandoor Republic (4),Kolkata,Continental; Italian,3.5,1403,3.5,1046,367,Mid-Range,26,24,19,20,200,138,73400,50646,34,Swiggy Better
3456,Golden Desserts Cafe,Jaipur,Desserts,5,780,4.9,1627,602,Mid-Range,40,43,27,31,197,240,118594,144480,69,Zomato Better
3457,Wok Biryani Table,Ahmedabad,Biryani,4.5,682,4.1,922,358,Mid-Range,37,36,25,19,150,109,53700,39022,50,Swiggy Better
3458,The Thai Table (2),Mumbai,Thai,4.4,3444,4.4,2203,210,Budget,15,30,20,26,404,312,84840,65520,65,Swiggy Better
3459,The Vegan Junction (4),Kolkata,Vegan,4.4,1502,4.4,1027,316,Mid-Range,42,38,25,20,190,386,60040,121976,56,Zomato Better
3460,Delhi Street Bites,Delhi,Street Food,4.1,873,4.6,1001,1885,Luxury,48,48,30,29,192,185,361920,348725,57,Swiggy Better
3461,Wok Grill (3),Kolkata,Desserts,3.8,447,3.8,826,1176,Premium,41,47,24,24,159,162,186984,190512,57,Zomato Better
3462,Nawab Mexican Republic (2),Mumbai,Mexican,4.1,1879,4,930,260,Budget,82,79,38,42,248,254,64480,66040,51,Balanced
3463,Bombay Tadka,Bangalore,Biryani; Multi-Cuisine,3.4,1540,3.5,1961,523,Mid-Range,25,30,22,16,305,266,159515,139118,28,Swiggy Better
3464,Urban Kitchen,Chennai,Chinese; Cafe,4.1,2393,4.5,2270,270,Budget,30,21,18,22,298,263,80460,71010,57,Swiggy Better
3465,Sultan Bowl (2),Kolkata,Korean,4.6,1405,4.7,932,254,Budget,33,39,25,22,183,189,46482,48006,63,Balanced
3466,Lotus Grill (3),Hyderabad,Lebanese,4.5,593,4.8,1103,1649,Luxury,70,59,35,30,143,220,235807,362780,60,Zomato Better
3467,Twist Room (3),Bangalore,South Indian; Cafe,4.4,1587,4.4,1892,616,Mid-Range,38,38,29,27,339,326,208824,200816,58,Balanced
3468,The North Darbar (3),Bangalore,North Indian,4.8,1568,4.5,2408,170,Budget,33,31,25,16,183,297,31110,50490,60,Zomato Better
3469,Tandoor Cellar,Lucknow,Seafood; Mexican,4.6,872,5,1657,160,Budget,51,46,30,31,167,237,26720,37920,69,Zomato Better
3470,Curry Cafe,Delhi,Continental; Mexican,4.9,1737,4.8,2325,859,Premium,33,40,26,19,367,303,315253,260277,61,Swiggy Better
3471,The Mughlai Deck (3),Delhi,Mughlai; Japanese,4.7,1386,5,1737,766,Premium,68,67,34,40,367,389,281122,297974,58,Balanced
3472,Coastal Eatery,Pune,Continental,3.5,757,3.6,869,492,Mid-Range,43,32,26,24,178,174,87576,85608,37,Swiggy Better
3473,The Korean Cafe (2),Delhi,Korean; Biryani,3.7,1628,4,607,453,Mid-Range,61,57,31,34,268,270,121404,122310,39,Balanced
3474,Sultan Desserts Kitchen Co.,Pune,Desserts; Biryani,4.1,1122,4.3,464,469,Mid-Range,40,36,29,25,187,230,87703,107870,50,Zomato Better
3475,The Cafe Bites,Delhi,Cafe,4.8,2053,4.7,1629,430,Mid-Range,53,55,28,27,239,276,102770,118680,66,Balanced
3476,Bistro Republic (3),Kolkata,Cafe,4.3,2155,4.3,603,334,Mid-Range,64,65,37,41,246,221,82164,73814,54,Swiggy Better
3477,Cinnamon Express (2),Ahmedabad,North Indian; Korean,4.9,1779,4.9,1419,477,Mid-Range,16,28,19,18,326,163,155502,77751,59,Swiggy Better
3478,The Mexican Grill (3),Jaipur,Mexican,4.4,1537,4.2,1165,142,Budget,21,27,20,18,183,205,25986,29110,62,Zomato Better
3479,Urban Biryani Junction,Pune,Biryani,5,2619,5,1288,188,Budget,26,20,24,22,340,253,63920,47564,73,Swiggy Better
3480,Tandoor Kitchen Co. (4),Delhi,Continental; Multi-Cuisine,4.3,2451,4.5,1128,439,Mid-Range,31,33,20,20,286,255,125554,111945,49,Swiggy Better
3481,Heritage South Room,Chennai,South Indian; Biryani,4.3,2970,4.7,2223,419,Mid-Range,62,64,37,37,421,431,176399,180589,49,Balanced
3482,The Pan-Asian Grill,Kolkata,Pan-Asian,4.7,1586,5,745,766,Premium,93,80,44,46,187,324,143242,248184,67,Zomato Better
3483,Cinnamon Junction,Pune,North Indian; Vegan,4.7,789,4.6,1526,415,Mid-Range,44,42,27,29,207,425,85905,176375,63,Zomato Better
3484,Tandoor Diner (4),Chennai,Fast Food,4.9,1409,4.7,2315,671,Mid-Range,40,36,24,22,227,303,152317,203313,55,Zomato Better
3485,The Thai Cellar (2),Chennai,Thai; Korean,3.4,627,3.6,892,2034,Luxury,47,54,30,29,102,114,207468,231876,29,Balanced
3486,Royal Cafe (3),Hyderabad,Italian; Continental,4.6,1181,4.3,3005,586,Mid-Range,39,27,29,20,430,433,251980,253738,46,Balanced
3487,Bamboo Table (3),Chennai,North Indian,4.6,3751,4.4,1604,335,Mid-Range,51,53,25,29,421,335,141035,112225,51,Swiggy Better
3488,Bombay Biryani Spot (2),Bangalore,Biryani,4.1,1305,4.2,1892,439,Mid-Range,64,62,34,35,227,274,99653,120286,39,Zomato Better
3489,The Pan-Asian Kitchen Co. (4),Delhi,Pan-Asian; Lebanese,4.4,945,4.5,1281,417,Mid-Range,52,51,29,32,247,266,102999,110922,64,Zomato Better
3490,Bistro Street Room,Pune,Street Food; Biryani,4.4,1325,4.4,1058,435,Mid-Range,33,25,25,24,236,191,102660,83085,59,Swiggy Better
3491,The Street Deck (5),Mumbai,Street Food; Korean,4.4,1631,4.1,2146,445,Mid-Range,48,52,26,25,342,333,152190,148185,55,Zomato Better
3492,Urban Kitchen Co. (2),Ahmedabad,Lebanese; Continental,4.4,734,4.7,713,218,Budget,94,92,44,48,141,209,30738,45562,62,Zomato Better
3493,Wok Republic (4),Hyderabad,Korean,4,1081,3.8,1259,336,Mid-Range,55,47,37,31,216,226,72576,75936,38,Zomato Better
3494,Delhi Kitchen Co.,Mumbai,Biryani,5,2337,5,2854,286,Budget,40,34,19,28,299,324,85514,92664,63,Zomato Better
3495,Spice Republic (3),Kolkata,Mediterranean,4.6,2883,4.6,1770,564,Mid-Range,33,27,21,23,396,263,223344,148332,65,Swiggy Better
3496,The Biryani Kitchen Co.,Chennai,Biryani,4.5,1428,4,857,541,Mid-Range,38,36,30,22,235,231,127135,124971,48,Zomato Better
3497,Bamboo Corner,Chennai,Desserts; Seafood,4.2,968,4.3,3184,161,Budget,63,52,28,34,175,469,28175,75509,39,Zomato Better
3498,Terrace Spot (2),Delhi,Mexican; Cafe,4.6,3932,4.6,2557,200,Budget,42,45,26,23,534,357,106800,71400,60,Swiggy Better
3499,Green Bar & Grill (2),Ahmedabad,Pan-Asian,4.8,912,4.8,394,1023,Premium,34,26,27,24,293,189,299739,193347,70,Swiggy Better
3500,The Lebanese Tadka (3),Delhi,Lebanese,4.3,833,4.2,1013,1736,Luxury,67,67,32,39,225,129,390600,223944,59,Swiggy Better
3501,Delhi Korean Spot,Pune,Korean; Vietnamese,4.3,676,4.2,527,1439,Luxury,91,96,40,49,138,73,198582,105047,53,Swiggy Better
3502,The Multi-Cuisine Cafe (2),Mumbai,Multi-Cuisine; Mughlai,4.8,280,4.7,703,1800,Luxury,56,46,28,33,125,315,225000,567000,71,Zomato Better
3503,Royal Bhavan,Hyderabad,Fast Food; Mexican,4.3,1757,3.9,1680,348,Mid-Range,67,68,35,37,282,214,98136,74472,46,Swiggy Better
3504,Bombay Mughlai Bhavan,Chennai,Mughlai; North Indian,4.8,1148,4.9,2259,203,Budget,34,29,23,21,316,350,64148,71050,70,Zomato Better
3505,Coastal Seafood Junction,Pune,Seafood,4.9,1777,4.9,1989,440,Mid-Range,47,38,25,18,203,225,89320,99000,63,Zomato Better
3506,The Korean Foods (2),Delhi,Korean,4.5,2225,4.8,1185,1518,Luxury,28,28,17,19,285,162,432630,245916,52,Swiggy Better
3507,The Vegan Table (3),Kolkata,Vegan,4.4,1069,4.6,1664,427,Mid-Range,66,62,33,34,363,253,155001,108031,56,Swiggy Better
3508,Saffron Vegan Bhavan,Hyderabad,Vegan,4,873,4.5,3269,216,Budget,41,43,26,26,336,386,72576,83376,52,Zomato Better
3509,Basil Cafe Cafe,Bangalore,Cafe,4.6,639,4.6,698,823,Premium,15,22,19,19,281,279,231263,229617,55,Balanced
3510,Twist Bar & Grill (4),Jaipur,Mexican,4.2,756,4.4,987,816,Premium,26,33,26,16,180,152,146880,124032,47,Swiggy Better
3511,Zaffran Grill,Chennai,South Indian,4.2,2266,3.8,1195,174,Budget,41,38,25,27,266,397,46284,69078,47,Zomato Better
3512,The Street Grill (4),Lucknow,Street Food,4.3,1137,4.2,2657,533,Mid-Range,29,21,20,18,210,298,111930,158834,67,Zomato Better
3513,The Thai Bar & Grill (3),Lucknow,Thai; South Indian,4.7,943,4.5,864,397,Mid-Range,35,26,22,21,199,134,79003,53198,60,Swiggy Better
3514,Twist Grill (3),Jaipur,Chinese; Vietnamese,4.3,2469,4.4,1335,549,Mid-Range,66,65,37,39,279,211,153171,115839,56,Swiggy Better
3515,Wok Biryani Hub,Chennai,Biryani; Vietnamese,4.9,779,4.9,2716,773,Premium,38,31,27,28,270,316,208710,244268,68,Zomato Better
3516,Tandoor Bar & Grill (2),Hyderabad,Japanese,4.1,3297,4.4,940,246,Budget,42,55,28,25,377,253,92742,62238,43,Swiggy Better
3517,Royal Mughlai Cellar,Mumbai,Mughlai,4.4,1364,4.2,488,834,Premium,68,61,34,38,259,144,216006,120096,60,Swiggy Better
3518,Nawab Room (3),Pune,Mediterranean,4.1,583,4.5,527,547,Mid-Range,58,55,31,32,275,246,150425,134562,52,Swiggy Better
3519,Spice Vietnamese Express,Chennai,Vietnamese,5,2438,4.8,2594,296,Budget,81,83,42,45,542,447,160432,132312,66,Swiggy Better
3520,Bombay Pan-Asian Grill,Pune,Pan-Asian,4.6,2069,4.3,523,587,Mid-Range,62,61,33,34,248,251,145576,147337,62,Balanced
3521,Nawab Junction (3),Ahmedabad,Chinese; Italian,4,404,4.4,639,473,Mid-Range,42,47,22,27,192,191,90816,90343,42,Balanced
3522,Green Bakery Kitchen Co.,Mumbai,Bakery; Pan-Asian,4.1,1315,4.1,1594,214,Budget,21,33,16,21,236,311,50504,66554,46,Zomato Better
3523,Spice Mediterranean Bowl,Delhi,Mediterranean,4.8,2388,4.8,1691,613,Mid-Range,42,43,25,28,278,252,170414,154476,68,Balanced
3524,Saffron South Corner,Pune,South Indian,4.9,3136,5,984,286,Budget,57,61,34,30,380,155,108680,44330,70,Swiggy Better
3525,Coastal Bites,Delhi,Lebanese,4.3,2184,4.1,545,256,Budget,29,29,25,26,245,245,62720,62720,59,Balanced
3526,Roots Japanese Junction,Mumbai,Japanese,4.2,1156,4.2,892,355,Mid-Range,64,57,31,38,305,155,108275,55025,45,Swiggy Better
3527,Ember Mediterranean Grill,Mumbai,Mediterranean; Fast Food,3.8,463,3.9,1582,328,Mid-Range,41,41,33,27,151,231,49528,75768,43,Zomato Better
3528,Green Deck (2),Kolkata,Thai; Italian,5,837,4.9,1739,283,Budget,66,58,35,34,280,261,79240,73863,71,Swiggy Better
3529,Harvest Chinese Eatery,Delhi,Chinese,4.4,1125,4.6,2895,254,Budget,52,65,31,34,272,362,69088,91948,57,Zomato Better
3530,The Vegan Bhavan (2),Mumbai,Vegan; Thai,4.7,1192,4.8,3018,349,Mid-Range,52,52,33,33,304,416,106096,145184,70,Zomato Better
3531,The Multi-Cuisine Point (3),Mumbai,Multi-Cuisine; Desserts,4.7,1369,4.6,652,852,Premium,33,40,18,30,286,284,243672,241968,63,Zomato Better
3532,Silk Kitchen (3),Delhi,Vietnamese,4.1,1108,4.1,2232,699,Mid-Range,83,81,42,39,314,338,219486,236262,43,Zomato Better
3533,The Mediterranean Foods (4),Mumbai,Mediterranean; Chinese,4,696,3.9,2131,231,Budget,71,72,37,38,180,256,41580,59136,38,Zomato Better
3534,Wok Street Bowl,Chennai,Street Food,4.6,819,4.4,3272,595,Mid-Range,46,44,25,24,382,478,227290,284410,53,Zomato Better
3535,Lotus South Deck,Kolkata,South Indian; Pan-Asian,4.8,2447,4.9,1670,578,Mid-Range,30,31,20,18,304,237,175712,136986,57,Swiggy Better
3536,Bamboo Desserts Bowl,Bangalore,Desserts,4.4,717,4.3,938,2036,Luxury,40,37,21,20,114,178,232104,362408,57,Zomato Better
3537,The Vietnamese Table,Pune,Vietnamese,4.8,848,4.8,1348,293,Budget,37,35,21,25,292,151,85556,44243,64,Swiggy Better
3538,Zaffran Korean Kitchen,Mumbai,Korean,4.6,845,4.4,1451,139,Budget,26,24,21,14,146,241,20294,33499,49,Zomato Better
3539,The Thai Kitchen Co.,Bangalore,Thai; South Indian,4,900,4.3,810,422,Mid-Range,39,36,22,16,274,167,115628,70474,54,Swiggy Better
3540,Green Foods (5),Ahmedabad,Vietnamese,3.5,825,3.6,700,333,Mid-Range,16,18,16,15,174,152,57942,50616,32,Swiggy Better
3541,The North Cafe (4),Pune,North Indian,3.9,393,4.5,1252,339,Mid-Range,47,48,30,30,183,221,62037,74919,45,Zomato Better
3542,Sunrise Continental Table,Ahmedabad,Continental; Biryani,4.7,623,5,763,1857,Luxury,39,47,28,27,119,165,220983,306405,65,Zomato Better
3543,Nawab Bhavan (4),Bangalore,Mediterranean,4.8,5816,5,545,321,Mid-Range,59,53,32,31,696,222,223416,71262,70,Swiggy Better
3544,Royal Bakery Darbar,Bangalore,Bakery; Street Food,3.4,871,3.4,1650,391,Mid-Range,39,40,22,25,381,202,148971,78982,33,Swiggy Better
3545,The Seafood Foods,Delhi,Seafood; South Indian,4.4,2059,4.4,826,417,Mid-Range,25,23,17,24,335,379,139695,158043,44,Zomato Better
3546,Zaffran Bowl (2),Delhi,Fast Food; Multi-Cuisine,4.1,1058,4.1,1295,477,Mid-Range,30,28,19,20,421,309,200817,147393,56,Swiggy Better
3547,The Lebanese Bhavan (7),Lucknow,Lebanese; Seafood,4.4,1930,4.7,1724,1100,Premium,43,45,21,26,239,202,262900,222200,59,Swiggy Better
3548,Bistro Desserts Spot,Mumbai,Desserts,4.5,1034,4.9,1832,572,Mid-Range,42,41,26,30,284,387,162448,221364,55,Zomato Better
3549,The Mughlai Republic (4),Ahmedabad,Mughlai; Chinese,3.9,817,4.2,1843,213,Budget,35,31,17,23,208,240,44304,51120,49,Zomato Better
3550,Tandoor House (3),Ahmedabad,Continental,3.7,714,4.1,555,323,Mid-Range,30,29,19,24,208,155,67184,50065,51,Swiggy Better
3551,The Mediterranean Express,Pune,Mediterranean,4.4,1782,4.3,466,220,Budget,60,53,33,34,219,224,48180,49280,61,Zomato Better
3552,Terrace Bakery Cellar,Bangalore,Bakery,4.4,1603,4.5,2036,328,Mid-Range,31,26,21,18,344,381,112832,124968,63,Balanced
3553,Golden Lebanese Hub,Pune,Lebanese,4.7,1146,4.5,1185,425,Mid-Range,49,53,25,24,228,164,96900,69700,63,Swiggy Better
3554,The Lebanese House (4),Bangalore,Lebanese,5,3403,4.9,2621,407,Mid-Range,45,38,26,28,396,733,161172,298331,64,Zomato Better
3555,The North House (4),Kolkata,North Indian,4.1,384,4.1,1748,2701,Luxury,65,53,27,37,125,197,337625,532097,49,Zomato Better
3556,The Mughlai Junction (2),Delhi,Mughlai,4.8,3454,4.8,2472,354,Mid-Range,101,99,50,54,621,303,219834,107262,67,Swiggy Better
3557,Saffron Mediterranean Point,Jaipur,Mediterranean; Continental,4.1,480,3.9,476,142,Budget,26,20,19,18,143,210,20306,29820,42,Zomato Better
3558,The Chinese Tadka (3),Hyderabad,Chinese; Desserts,4.4,948,4.5,2052,333,Mid-Range,54,55,30,34,249,373,82917,124209,57,Zomato Better
3559,The Thai Bowl (4),Pune,Thai,4.3,1162,4.5,1193,255,Budget,55,52,28,29,155,235,39525,59925,54,Zomato Better
3560,Urban Vegan Hub,Chennai,Vegan,5,1360,4.9,2011,241,Budget,29,40,26,20,279,332,67239,80012,79,Zomato Better
3561,The North Republic (5),Pune,North Indian; Desserts,4.2,445,4.1,2144,216,Budget,38,36,23,20,205,255,44280,55080,44,Zomato Better
3562,The Desserts Bar & Grill (3),Ahmedabad,Desserts; Fast Food,4.5,561,4.4,1221,2391,Luxury,42,38,25,27,164,223,392124,533193,50,Zomato Better
3563,Coastal North Point,Bangalore,North Indian; Pan-Asian,3.5,967,3.4,625,1093,Premium,58,50,24,33,145,189,158485,206577,32,Zomato Better
3564,Silk Street Bites,Lucknow,Street Food,4.4,528,4.3,1164,414,Mid-Range,40,48,22,32,210,158,86940,65412,56,Swiggy Better
3565,The Mediterranean House (5),Kolkata,Mediterranean,4,1140,4.1,1292,2620,Luxury,70,78,31,41,143,172,374660,450640,59,Zomato Better
3566,Royal Street Diner,Ahmedabad,Street Food,5,2089,4.7,778,3218,Luxury,25,21,27,22,298,177,958964,569586,61,Swiggy Better
3567,Green Bites (2),Delhi,Biryani; Thai,4,994,4.2,1230,210,Budget,35,44,26,29,241,219,50610,45990,70,Swiggy Better
3568,The Chinese Cafe (3),Kolkata,Chinese; Mediterranean,4.7,1902,4.5,1205,1753,Luxury,55,49,26,30,226,168,396178,294504,55,Swiggy Better
3569,Delhi Lebanese Table,Bangalore,Lebanese; North Indian,3.8,539,3.7,2039,248,Budget,38,37,22,25,217,357,53816,88536,42,Zomato Better
3570,The Fast Kitchen (4),Chennai,Fast Food; Vegan,3.5,621,3.6,1957,231,Budget,33,38,26,21,227,253,52437,58443,45,Zomato Better
3571,The North Hub (4),Mumbai,North Indian,4.4,1305,4.3,5359,422,Mid-Range,66,70,45,39,285,617,120270,260374,52,Zomato Better
3572,Coastal Bakery House (2),Bangalore,Bakery,4.2,1941,4.3,1980,789,Premium,49,46,31,28,239,335,188571,264315,59,Zomato Better
3573,Terrace Bowl,Delhi,Chinese; Bakery,3.7,1294,3.9,748,278,Budget,24,21,20,15,316,261,87848,72558,37,Swiggy Better
3574,Coastal Corner (2),Bangalore,Desserts,4.9,1265,4.8,1751,246,Budget,28,26,24,22,229,225,56334,55350,62,Zomato Better
3575,The Street Republic (3),Delhi,Street Food; Biryani,4.5,561,4.6,3263,551,Mid-Range,39,29,23,29,270,367,148770,202217,62,Zomato Better
3576,Zaffran Pan-Asian House,Kolkata,Pan-Asian,4.5,1477,4.4,2438,936,Premium,88,75,51,47,294,314,275184,293904,53,Zomato Better
3577,The Fast Express (5),Bangalore,Fast Food; Seafood,4.3,1125,4.3,1859,604,Mid-Range,32,42,25,27,288,420,173952,253680,51,Zomato Better
3578,Bamboo Room (2),Chennai,Korean,3.8,1554,4,2514,340,Mid-Range,74,71,40,49,268,341,91120,115940,47,Zomato Better
3579,Twist Cellar,Mumbai,Italian; North Indian,3.5,1143,3.8,736,399,Mid-Range,56,47,30,31,370,218,147630,86982,40,Swiggy Better
3580,Royal Desserts House,Chennai,Desserts,4.4,605,4.5,1102,1123,Premium,53,56,31,32,168,189,188664,212247,58,Zomato Better
3581,Barrel Multi-Cuisine Point,Kolkata,Multi-Cuisine,4.8,825,5,1680,196,Budget,32,33,22,23,169,246,33124,48216,68,Zomato Better
3582,Curry Bar & Grill (2),Delhi,Seafood; Desserts,3.9,2673,4.1,919,831,Premium,47,35,28,26,334,279,277554,231849,53,Swiggy Better
3583,Basil Korean Kitchen Co.,Chennai,Korean,4,2940,3.8,1506,739,Premium,29,30,19,21,418,207,308902,152973,48,Swiggy Better
3584,Sunrise Cafe Diner,Jaipur,Cafe,4.4,1254,4.4,971,419,Mid-Range,58,56,29,40,216,208,90504,87152,60,Swiggy Better
3585,The Continental Eatery (2),Kolkata,Continental; Street Food,4.3,1507,4.1,878,246,Budget,68,59,31,37,303,296,74538,72816,53,Balanced
3586,The Chinese Deck,Delhi,Chinese; Seafood,4.5,1553,4.4,902,358,Mid-Range,47,49,25,40,297,228,106326,81624,54,Swiggy Better
3587,Green Chinese Spot (3),Delhi,Chinese,4,2177,4.3,2835,553,Mid-Range,46,38,27,27,286,397,158158,219541,45,Zomato Better
3588,Barrel Eatery (3),Kolkata,Chinese,4.3,601,4.3,887,346,Mid-Range,43,40,29,27,192,248,66432,85808,50,Zomato Better
3589,Wok Chinese Bites,Bangalore,Chinese; South Indian,4.1,3696,4.1,2490,419,Mid-Range,78,80,41,42,454,291,190226,121929,44,Swiggy Better
3590,Barrel Express (4),Kolkata,Italian,4.1,439,4.3,913,721,Premium,68,69,38,34,160,177,115360,127617,48,Zomato Better
3591,Ember Darbar (4),Bangalore,Korean,4.9,1106,4.8,2013,782,Premium,58,47,26,28,397,351,310454,274482,67,Swiggy Better
3592,The Street Corner,Kolkata,Street Food,4.5,2724,4.7,1913,285,Budget,30,35,24,26,352,296,100320,84360,63,Swiggy Better
3593,The Thai Corner (2),Mumbai,Thai; Bakery,4.7,1579,4.7,3416,446,Mid-Range,26,36,24,24,281,425,125326,189550,70,Zomato Better
3594,The Japanese Kitchen Co. (2),Mumbai,Japanese; Mexican,4.8,1139,4.6,1678,633,Mid-Range,81,76,41,35,368,233,232944,147489,68,Swiggy Better
3595,The Lebanese Bites (6),Lucknow,Lebanese; Continental,4.2,2035,4,1359,605,Mid-Range,36,30,23,26,264,153,159720,92565,44,Swiggy Better
3596,Cinnamon Foods (2),Ahmedabad,Vegan,4.3,2190,4.5,1141,712,Premium,44,43,30,31,346,209,246352,148808,66,Swiggy Better
3597,Green Kitchen Co. (2),Ahmedabad,Cafe; Street Food,4.1,1166,4.2,740,2182,Luxury,54,57,27,32,172,118,375304,257476,50,Swiggy Better
3598,The Japanese Bhavan,Jaipur,Japanese,4.7,903,4.9,930,475,Mid-Range,60,55,34,34,212,254,100700,120650,52,Zomato Better
3599,Harvest Bakery Cellar,Delhi,Bakery,4.9,1562,5,969,695,Mid-Range,54,51,29,24,392,205,272440,142475,72,Swiggy Better
3600,The Vietnamese Darbar (6),Bangalore,Vietnamese,4.8,2260,4.9,1757,333,Mid-Range,46,43,32,28,261,326,86913,108558,73,Zomato Better
3601,Silk Mughlai Kitchen,Mumbai,Mughlai; Chinese,4.5,2553,4.3,2460,349,Mid-Range,44,43,25,25,290,279,101210,97371,56,Swiggy Better
3602,Saffron Mediterranean Corner,Pune,Mediterranean; Pan-Asian,4.4,1023,4.8,1326,1339,Luxury,40,45,31,21,271,185,362869,247715,62,Swiggy Better
3603,Nawab Bites (3),Bangalore,Multi-Cuisine,3.8,2176,3.7,1249,428,Mid-Range,30,26,23,25,313,258,133964,110424,37,Swiggy Better
3604,Green Vietnamese House,Jaipur,Vietnamese; North Indian,3.9,1810,4.2,1039,692,Mid-Range,59,51,32,38,252,284,174384,196528,49,Zomato Better
3605,The Thai Junction (5),Mumbai,Thai,4.2,358,3.9,423,508,Mid-Range,35,33,28,22,143,201,72644,102108,51,Zomato Better
3606,Golden Spot (3),Mumbai,Multi-Cuisine; Cafe,4.5,2349,4.5,2721,450,Mid-Range,23,30,21,19,356,409,160200,184050,54,Zomato Better
3607,Nawab Corner (3),Bangalore,Cafe,4.6,2469,5,2663,466,Mid-Range,28,32,21,23,281,369,130946,171954,56,Zomato Better
3608,The Street Express (4),Bangalore,Street Food,4.8,2355,5,919,428,Mid-Range,40,51,25,33,338,244,144664,104432,68,Swiggy Better
3609,The Italian Foods,Bangalore,Italian; Thai,4.4,2000,4.5,2225,434,Mid-Range,55,54,29,33,238,289,103292,125426,62,Zomato Better
3610,Green Cellar,Hyderabad,Vietnamese; Mediterranean,4.4,2502,4.5,1690,592,Mid-Range,51,51,32,30,327,235,193584,139120,60,Swiggy Better
3611,Delhi Vietnamese Kitchen,Bangalore,Vietnamese; Mexican,4.2,3084,4,1280,356,Mid-Range,46,39,30,29,418,302,148808,107512,47,Swiggy Better
3612,Ember Thai Hub,Hyderabad,Thai,4.6,2670,4.5,1181,741,Premium,40,36,22,28,382,179,283062,132639,54,Swiggy Better
3613,The South Deck (5),Ahmedabad,South Indian,4.9,2090,4.9,1120,377,Mid-Range,39,30,26,22,234,173,88218,65221,59,Swiggy Better
3614,Copper Bar & Grill,Hyderabad,North Indian,4.4,2744,4.5,2665,300,Mid-Range,68,64,38,30,376,317,112800,95100,61,Swiggy Better
3615,The Fast Darbar (2),Hyderabad,Fast Food; Lebanese,3.8,791,4,1800,527,Mid-Range,37,42,23,20,295,270,155465,142290,48,Swiggy Better
3616,The Lebanese Room (3),Delhi,Lebanese,4.2,2235,4,1814,816,Premium,45,45,29,30,256,241,208896,196656,44,Swiggy Better
3617,The Street Deck (6),Mumbai,Street Food,4.5,881,4.9,3862,408,Mid-Range,60,66,30,38,247,448,100776,182784,66,Zomato Better
3618,The Vietnamese Table (2),Bangalore,Vietnamese,4.5,1408,4.3,1842,675,Mid-Range,43,51,31,26,237,242,159975,163350,51,Zomato Better
3619,Lotus Mediterranean House,Lucknow,Mediterranean,4.7,1515,4.9,1610,622,Mid-Range,60,52,31,34,216,279,134352,173538,55,Zomato Better
3620,The Fast Bhavan (3),Hyderabad,Fast Food; Pan-Asian,4,717,4.1,932,151,Budget,38,36,22,23,172,236,25972,35636,46,Zomato Better
3621,The Cafe Darbar,Bangalore,Cafe; Japanese,3.8,1702,3.7,1695,618,Mid-Range,40,43,23,27,311,190,192198,117420,43,Swiggy Better
